section	symbol	english	sqi	english_lines	sqi_lines
Verbs	mkV	True	True	283:mkV : overload { | 290:mkV : (cry : Str) -> V ; -- regular, incl. cry-cries, kiss-kisses etc | 296:mkV : (stop, stopped : Str) -> V ; -- reg. with consonant duplication | 302:mkV : (drink, drank, drunk  : Str) -> V ; -- ordinary irregular | 306:mkV : (run, ran, run, running  : Str) -> V ; -- irregular with duplication --% | 312:mkV : (go, goes, went, gone, going : Str) -> V ; -- totally irregular	1396:mkV = overload { | 1397:mkV : Str -> V = regV;   -- Indicative;Pres;Sg;P1 | 1398:mkV : Str -> Str -> V = reg2V   -- Indicative;Pres;Sg;P1  participle | 1407:mkV2 : Str -> V2 = \v -> mkV2Core (mkV v) noPrep ; | 1408:mkV2 : Str -> Prep -> V2 = \v,p -> mkV2Core (mkV v) p ; | 1409:mkV2 : Str -> Str -> V2 = \v,p -> mkV2Core (mkV v) (mkPrep p) ;
Verbs	partV	True	False	323:partV  : V -> Str -> V ; -- with particle, e.g. switch + on | 639:partV v p = lin V {s = \\f => v.s ! f ; p = p ; isRefl = v.isRefl} ;	
Verbs	reflV	True	False	328:reflV  : V -> V ;  -- reflexive e.g. behave oneself | 640:reflV v = lin V {s = v.s ; p = v.p ; isRefl = True} ;	
Verbs	mkV2	True	True	339:mkV2 : overload { | 340:mkV2  : Str -> V2 ;       -- kill --% | 341:mkV2  : V -> V2 ;         -- transitive, e.g. hit | 342:mkV2  : V -> Prep -> V2 ; -- with preposiiton, e.g. believe in | 343:mkV2  : V -> Str -> V2 ;  -- believe in --% | 344:mkV2  : Str -> Prep -> V2 ; -- believe in --%	1404:mkV2 = overload { | 1405:mkV2 : V -> V2 = \v -> mkV2Core v noPrep ; | 1406:mkV2 : V -> Prep -> V2 = \v,p -> mkV2Core v p ; | 1407:mkV2 : Str -> V2 = \v -> mkV2Core (mkV v) noPrep ; | 1408:mkV2 : Str -> Prep -> V2 = \v,p -> mkV2Core (mkV v) p ; | 1409:mkV2 : Str -> Str -> V2 = \v,p -> mkV2Core (mkV v) (mkPrep p) ;
Verbs	mkV3	True	True	353:mkV3 : overload { | 354:mkV3  : V -> V3 ;                   -- ditransitive, e.g. give,_,_ | 355:mkV3  : V -> Prep -> Prep -> V3 ;   -- two prepositions, e.g. speak, with, about | 356:mkV3  : V -> Prep -> V3 ;           -- give,_,to --% | 357:mkV3  : V -> Str -> V3 ;            -- give,_,to --% | 358:mkV3  : Str -> Str -> V3 ;          -- give,_,to --%	1474:mkV3 = overload { | 1475:mkV3 : V -> V3 = \v -> mkV3Core v noPrep noPrep ; | 1476:mkV3 : V -> Prep -> V3 = \v,p3 -> mkV3Core v noPrep p3 ; | 1477:mkV3 : V -> Prep -> Prep -> V3 = mkV3Core ; | 1478:mkV3 : Str -> V3 = \v -> mkV3Core (mkV v) noPrep noPrep ; | 1479:mkV3 : Str -> Prep -> V3 = \v,p3 -> mkV3Core (mkV v) noPrep p3 ;
Verbs	mkV0	True	False	367:mkV0  : V -> V0 ; --% | 685:mkV0  v = v ;	
Verbs	mkVS	True	True	368:mkVS  : V -> VS ; -- sentence-compl e.g. say (that S) | 658:mkVS  v = lin VS v ;	1421:mkVS = overload { | 1422:mkVS : V -> VS = mkVSCore ; | 1423:mkVS : Str -> VS = \v -> mkVSCore (mkV v)
Verbs	mkVV	True	True	370:mkVV  : V -> VV ; -- e.g. want (to VP) | 659:mkVV  v = lin VV {	1417:mkVV = overload { | 1418:mkVV : V -> VV = mkVVCore ; | 1419:mkVV : Str -> VV = \v -> mkVVCore (mkV v)
Verbs	auxVV	True	False	371:auxVV : V -> VV ; -- e.g. must (VP) | 372:infVV : V -> VV ; -- e.g. must (VP) (old name of auxVV) | 664:auxVV, infVV = \v -> lin VV {	
Verbs	ingVV	True	False	373:ingVV : V -> VV ; -- e.g. start (VPing) | 673:ingVV  v = lin VV {	
Verbs	mkV2V	True	True	374:mkV2V : overload { | 375:mkV2V : Str -> V2V ; | 376:mkV2V : V -> V2V ; | 377:mkV2V : V -> Prep -> Prep -> V2V ;  -- e.g. want (noPrep NP) (to VP) | 687:mkV2V = overload { | 688:mkV2V : Str -> V2V = \s -> lin V2V (dirV2 (regV s) ** {c3 = [] ; typ = VVAux}) ;	1443:mkV2V = overload { | 1444:mkV2V : V -> V2V = \v -> mkV2VCore v noPrep noPrep ; | 1445:mkV2V : V -> Prep -> Prep -> V2V = mkV2VCore ; | 1446:mkV2V : Str -> V2V = \v -> mkV2VCore (mkV v) noPrep noPrep ; | 1447:mkV2V : Str -> Prep -> Prep -> V2V = \v,p2,p3 -> mkV2VCore (mkV v) p2 p3 ;
Verbs	ingV2V	True	False	379:ingV2V : V -> Prep -> Prep -> V2V ; -- e.g. prevent (noPrep NP) (from VP-ing) | 693:ingV2V v p t = lin V2V (prepV2 v p ** {c3 = t.s ; typ = VVPresPart}) ;	
Verbs	mkVA	True	True	380:mkVA  : V -> VA ; -- e.g. become (AP) | 694:mkVA  v = lin VA v ;	1429:mkVA = overload { | 1430:mkVA : V -> VA = mkVACore ; | 1431:mkVA : Str -> VA = \v -> mkVACore (mkV v)
