lemma	category	surface	raw_description	mapping_status	gf_feature_path	note
shtet	N	shtet	noun, masculine; nominative singular indefinite of	exact	s.Indef.Nom.Sg;g=Masc	
shtetëror	A	shtetërore	adjective; feminine plural of	ambiguous	s.*.Fem.Pl	source adjective description does not determine GF Case
shumetnik	A	shumetnik	adjective; masculine singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
shëmbëllë	N	shëmbëllën	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
si	Conj	si	conjunction;	exact	s	invariant/closed-category surface evidence
siguroj	V	siguron	verb; 3rd person singular present indicative active of	exact	Indicative.Pres.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
sikur	Conj	sikur	conjunction;	exact	s	invariant/closed-category surface evidence
simbol	N	simbolet	noun, ambigeneric; genitive plural definite of	exact	s.Def.Dat.Pl;g=?	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
simbol	N	simboleve	noun, ambigeneric; nominative plural definite of	exact	s.Def.Nom.Pl;g=?	
social	A	sociale	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
sot	Adv	sot	adverb;	exact	s	invariant/closed-category surface evidence
sqotë	N	sqota	noun, feminine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Fem	
status	N	statusin	noun, masculine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Masc	
stemë	N	stema	noun, feminine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Fem	
sukses	N	sukses	noun, masculine; accusative singular indefinite of	exact	s.Indef.Acc.Sg;g=Masc	
sundim	N	sundimit	noun, masculine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
svetigradas	N	sfetigradas	noun, masculine; nominative plural indefinite of	exact	s.Indef.Nom.Pl;g=Masc	
taman	Adv	taman	adverb;	exact	s	invariant/closed-category surface evidence
tani	Adv	tani	adverb;	exact	s	invariant/closed-category surface evidence
thatë	A	thatë	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
themelor	A	themelore	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
tij	Det	tij	determiner; masculine accusative singular of | determiner; masculine nominative singular of	ambiguous		source has 1 distinct forms but 2 analyses; alignment is not one-to-one
tjetër	A	tjera	adjective; feminine plural of	ambiguous	s.*.Fem.Pl	source adjective description does not determine GF Case
tjetër	A	tjetër	adjective; masculine singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
tjetër	N	tjerave	noun, masculine; ablative plural definite of	exact	s.Def.Ablat.Pl;g=Masc	
tokë	N	tokën	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
treg	N	tregut	noun, masculine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
trishtuar	A	trishtuar	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
turk	A	turke	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
turp	N	turp	noun, masculine; accusative singular indefinite of	exact	s.Indef.Acc.Sg;g=Masc	
të	Conj	t'i|t'ia|t'ju|ta|të	conjunction; | conjunction; contraction of	ambiguous		source has 5 distinct forms but 2 analyses; alignment is not one-to-one
tërheqje	N	tërheqjen	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
u	Marker	u	marker;	unmapped		category requires category-specific reviewed mapping
udhëheqje	N	udhëheqjen	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
unë	Pron	meje	pronoun; ablative of	unmapped		category requires category-specific reviewed mapping
ushtar	N	ushtarët	noun, masculine; accusative plural definite of	exact	s.Def.Acc.Pl;g=Masc	
ushtar	N	ushtarëve	noun, masculine; genitive plural definite of	exact	s.Def.Dat.Pl;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
varem	V	varet	verb; 3rd person singular present indicative non-active of	exact	Indicative.Pres.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
vetëm	Adv	vetëm	adverb;	exact	s	invariant/closed-category surface evidence
vij	V	vinte	verb; 3rd person singular imperfect indicative active of	exact	Indicative.Imperfect.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
vjeshtë	N	vjeshta	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
vjeshtë	N	vjeshtë	noun, feminine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Fem	
vjeshtë	N	vjeshtës	noun, feminine; nominative singular indefinite of	exact	s.Indef.Nom.Sg;g=Fem	
vlerë	N	vlerë	noun, feminine; accusative singular indefinite of	exact	s.Indef.Acc.Sg;g=Fem	
vranësirë	N	vranësirat	noun, feminine; nominative plural definite of	exact	s.Def.Nom.Pl;g=Fem	
vras	V	vrarë	adjective; masculine plural participle of	exact	participle	
vulos	V	vulosur	adjective; masculine singular participle of	exact	participle	
vërtetë	A	vërtetë	adjective; masculine singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
xhade	N	xhadesë	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
zhvillim	N	zhvillimin	noun, masculine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Masc	
zi	A	zi	adjective; masculine singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
zjarrtë	A	zjarrtë	adjective; masculine plural of	ambiguous	s.*.Masc.Pl	source adjective description does not determine GF Case
zot	N	Zoti	noun, masculine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Masc	
zyrtar	A	zyrtar	adjective; feminine plural of	ambiguous	s.*.Fem.Pl	source adjective description does not determine GF Case
zyrtar	A	zyrtare	adjective; masculine singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
zëmër	N	zëmrat	noun, feminine; accusative plural definite of	exact	s.Def.Acc.Pl;g=Fem	
çdo	Det	çdo	determiner;	unmapped		category requires category-specific reviewed mapping
