lemma	category	surface	raw_description	mapping_status	gf_feature_path	note
lag	V	lagte	verb; 3rd person singular imperfect indicative active of	exact	Indicative.Imperfect.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
lagët	A	lagët	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
lart	A	lartë	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
lavde	N	lavdet	noun, feminine; accusative plural definite of	exact	s.Def.Acc.Pl;g=Fem	
lexoj	V	lexuar	verb; participle of	exact	participle	
libër	N	librin	noun, masculine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Masc	
ligj	N	ligj	noun, masculine; accusative singular indefinite of	exact	s.Indef.Acc.Sg;g=Masc	
ligj	N	ligjit	noun, masculine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
liri	N	lirinë	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
liri	N	lirisë	noun, feminine; genitive plural definite of	exact	s.Def.Dat.Pl;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
liri	N	lirive	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
luftoj	V	luftoni	verb; 2nd person plural present indicative active of	exact	Indicative.Pres.Pl.P2	voice label retained as evidence metadata; current Verb table has no voice dimension
luftoj	V	luftuar	verb; participle of	exact	participle	
luftë	N	luftra	noun, feminine; accusative plural indefinite of	exact	s.Indef.Acc.Pl;g=Fem	
luftë	N	luftën	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
lë	V	lënë	verb; participle of	exact	participle	
madh	A	madh	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
madh	A	madhe	adjective; masculine singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
mashkull	N	meshkujve	noun, masculine; genitive plural definite of	exact	s.Def.Dat.Pl;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
mbarë	Det	mbarë	determiner;	unmapped		category requires category-specific reviewed mapping
mbi	Prep	mbi	preposition, accusative;	exact	c=Acc;s	
mbretëri	N	mbretërisë	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
mbrojtje	N	mbrojtja	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
mbrojtje	N	mbrojtjes	noun, feminine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Fem	
me	Prep	me	preposition, accusative;	exact	c=Acc;s	
meritoj	V	merituar	verb; participle of	exact	participle	
midis	Prep	midis	preposition, ablative;	exact	c=Ablat;s	
mirë	A	mirë	adjective; masculine singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
mision	N	misioni	noun, masculine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Masc	
mjedis	N	mjedisit	noun, masculine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
monoton	V	monoton	verb; nominative singular of	unmapped		verb description does not map uniquely to current Verb cells
mos	Adv	mos	adverb;	exact	s	invariant/closed-category surface evidence
mos	Particle	mos	particle;	unmapped		category requires category-specific reviewed mapping
mosdiskriminim	N	mosdiskriminimit	noun, masculine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
mund	V	mund	verb; 3rd person singular present indicative active of	exact	Indicative.Pres.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
mundësi	N	mundësi	noun, feminine; accusative plural indefinite of	exact	s.Indef.Acc.Pl;g=Fem	
mur	N	muret	noun, masculine; accusative plural definite of	exact	s.Def.Acc.Pl;g=Masc	
